id;policy_number;start_date;end_date;premium_amount;coverage_amount;status
1;innocently;2024-08-26T17:42:29;2024-08-25T21:48:31;26963.73;7142.13;PENDING
2;obediently leading tolerate;2024-08-25T23:14:16;2024-08-25T22:32:35;4758.34;6199.56;CANCELLED
3;array;2024-08-26T19:06:43;2024-08-26T03:23:52;14533.11;17155.13;CANCELLED
4;white obsidian happily;2024-08-26T00:08:59;2024-08-26T12:13:30;30137.57;14589.26;EXPIRED
5;however;2024-08-26T02:41:15;2024-08-26T10:53:02;2955.28;15222.57;CANCELLED
6;overshoot;2024-08-26T02:42:05;2024-08-25T21:03:26;10949.65;31536.01;ACTIVE
7;music-making meanwhile;2024-08-26T03:32:06;2024-08-26T13:12:48;11228.31;22849.44;ACTIVE
8;ultimately barring;2024-08-25T23:19:24;2024-08-26T11:53:58;31761.38;8342.27;EXPIRED
9;seldom edge tensely;2024-08-26T10:39:52;2024-08-26T05:31:12;13338.77;25535.89;PENDING
10;delightfully;2024-08-25T22:30:29;2024-08-26T18:23:53;10226.59;15739.49;PENDING
