id;claim_number;claim_date;amount_claimed;status
1;thumb during;2024-08-26T12:12:33;32098.01;CLOSED
2;before unique;2024-08-26T02:37:18;7689.55;OPEN
3;lumbering across before;2024-08-25T20:39:23;27694.59;REJECTED
4;ugh carefully within;2024-08-26T01:13:12;7172.36;OPEN
5;below colorful qua;2024-08-26T12:10:41;5190.15;REJECTED
6;generous dramaturge;2024-08-26T16:07:07;6668.05;REJECTED
7;pick;2024-08-26T04:03:42;25165.74;OPEN
8;supposing;2024-08-26T10:30:46;29750.58;OPEN
9;personalize how focused;2024-08-26T11:33:48;3858.12;CLOSED
10;hm ah solidly;2024-08-26T17:10:32;29392.65;REJECTED
