id;component_value;created_at;updated_at
1;4361.24;2024-08-26T04:37:50;2024-08-26T01:06:00
2;30941.39;2024-08-26T09:09:38;2024-08-26T16:59:17
3;30712.02;2024-08-26T19:20:35;2024-08-25T22:47:35
4;15941.25;2024-08-26T15:20:59;2024-08-26T18:50:19
5;20817.29;2024-08-26T13:32:34;2024-08-25T19:53:31
6;8842.46;2024-08-26T16:53:52;2024-08-26T10:00:35
7;12640.75;2024-08-26T12:46:57;2024-08-26T08:38:52
8;14297.95;2024-08-26T08:08:40;2024-08-26T08:52:45
9;11659.38;2024-08-25T20:47:18;2024-08-26T13:55:33
10;26429.01;2024-08-26T04:58:15;2024-08-26T00:13:03
