id;product_name;product_code;product_description;is_active;created_at;updated_at
1;alfalfa;polished joyously persimmon;live because;true;2024-08-25T21:06:17;2024-08-25T20:31:20
2;mysteriously out;bah burdensome;suddenly;true;2024-08-26T05:14:10;2024-08-26T00:42:21
3;boohoo;sticky;growing;true;2024-08-25T22:24:36;2024-08-26T12:40:13
4;rheumatism rivulet nod;lest;athwart swath;false;2024-08-26T18:17:17;2024-08-26T15:40:43
5;switch;although opposite muddy;watery;false;2024-08-26T05:07:02;2024-08-26T00:37:02
6;squeaky;considerate;while;false;2024-08-26T14:47:56;2024-08-26T10:28:19
7;birthday judder nearest;only;which drat reprocessing;false;2024-08-26T13:14:14;2024-08-26T19:42:20
8;gosh;ouch;quicker secure;false;2024-08-26T12:14:17;2024-08-26T03:47:13
9;while whereas;feline;which wrong;true;2024-08-26T01:24:36;2024-08-26T06:16:35
10;whoa bah sunflower;an speaker coolly;stereotype these yowza;true;2024-08-26T04:49:19;2024-08-25T21:51:44
