id;start_of_risk_period;length_of_risk_period;depth;claims_frequency;insured_value;best_premium;insured_rate;insured_premium;created_at;updated_at
1;2024-08-26;13239;28681;724;5072.88;16655.28;21370.9;21545.08;2024-08-26T14:55:51;2024-08-26T17:34:12
2;2024-08-26;14028;13352;16178;28188.68;16590.74;6973.77;9243.85;2024-08-25T21:51:26;2024-08-26T14:46:30
3;2024-08-26;26832;3414;31497;31469.96;28198.33;24092.96;12134.14;2024-08-25T22:33:45;2024-08-25T23:55:53
4;2024-08-26;22630;1511;20179;13497.54;14086.14;26693.59;2721.42;2024-08-26T04:26:00;2024-08-26T15:07:40
5;2024-08-25;25790;24886;11174;7715.1;31484.57;59.42;22325.38;2024-08-26T14:09:14;2024-08-26T04:28:28
6;2024-08-26;27970;24007;30474;22505.59;4781.68;3272.68;32216.33;2024-08-25T21:21:50;2024-08-26T08:22:44
7;2024-08-26;25523;17170;24167;6885.79;24456.94;17505.43;25132.31;2024-08-25T23:44:59;2024-08-26T14:08:54
8;2024-08-25;17751;1159;29198;8487.31;2904.53;2191.71;949.41;2024-08-26T17:10:40;2024-08-26T15:59:33
9;2024-08-26;6272;1853;22910;2809.21;10554.02;10623.45;14920.75;2024-08-25T22:43:05;2024-08-26T11:30:01
10;2024-08-26;22581;20430;11297;15073.57;29670.56;27749.79;14007;2024-08-25T20:41:09;2024-08-25T23:04:02
