id;status_name;status_code;description;is_active
1;snowstorm nobody whereas;where where;furthermore vastly unless;true
2;patiently;experienced vivacious reindeer;demob warmly;true
3;phew until;scavenge nor beyond;overspend farrow even;true
4;by;drat safely gee;sandal;false
5;taut zowie not;boohoo;although;true
6;code wilted likewise;modulo junior given;sniveling;true
7;weary;yahoo loudly overdue;passionate spy;true
8;anenst short-term;second snarling;reorganization;false
9;foolhardy frail;huzzah ha;reassuringly;false
10;truss furthermore preface;till ugh;deliberately;false
